,,,Schedule,,,,,,,Paper Link,Poster Link,Video Link
,,,Day1,,Day2,,Day3,,Day4,,,
Demo Number,Authors,Title,PD1,PD2,PD3,PD4,PD5,PD6,PD7,,,
370,Tomas Trescak and Juan Antonio Rodriguez Aguilar,Hierarchic Language Abstractions Model,,,,,x,x,,,,
374,László Zahorán and Andras Kovacs,ProSeqqo: Open-source Solver for Robotic Task Sequencing,,,x,,,,x,,,
375,"Ron Alford, Dean Lawrence and Michael Kouremetis",CALDERA: A Red-Blue Cyber Operations Automation Platform,,,x,x,,,,,,
376,"Alex Coulter, Teo Ilie, Renee Tibando and Christian Muise",Planning Tech for Planning Pedagogy,,,x,x,,,,,,
377,"Christian Muise, Florian Pommerening, Jendrik Seipp and Michael Katz",Planutils: Bringing Planning to the Masses,,,,,x,x,,,,
378,"Ethan Callanan, Rebecca De Venezia, Victoria Armstrong, Alison Paredes, Jungkoo Kang, Tathagata Chakraborti and Christian Muise",MACQ: A Unified Library for Action Model Acquisition,,,,,x,x,,,,
379,"Andrea Micheli, Alexandre Arnold, Arthur Bit-Monnot, Luigi Bonassi, Luca Framba, Alfonso Gerevini, Selvakumar Hastham Sathiya Satchi, Malte Helmert, Félix Ingrand, Luca Iocchi, Uwe Köckemann, Oscar Lima, Fabio Patrizi, Federico Pecora, Guillaume Poveda, Gabriele Röger, Alessandro Saetti, Alessandro Saffiotti, Enrico Scala, Ivan Serina, Sebastian Stock, Florent Teichteil-Koenigsbuch, Alessandro Trapasso, Paolo Traverso and Alessandro Valentini",Unified Planning: A Python Library Making Planning Technology Accessible,x,x,,,,,,,,
381,Emanuele De Pellegrin and Ron Petrick,Plan Visualisation with PDSim,,,x,,,,x,,,
382,"Lucas Galery Käser, Clemens Büchner, Augusto B. Corrêa, Florian Pommerening and Gabriele Röger",Machetli: Simplifying Input Files for Debugging,x,x,,,,,,,,
384,"Malte Zoëga Andreasen, Philip Irming Holler, Magnus Kirkegaard Jensen and Michele Albano","MAES, a Realistic Simulator for Multi Agent Exploration and Coverage",x,x,,,,,,,,
