Slot,Time,Day,Weekday,Type,Session1,Session2,Session1_title,Session2_title,Session1_papers,Session2_papers
0,11:00,1,Tuesday 21,Joint,Opening,Opening,,,,
1,12:00,1,Tuesday 21,Joint,Invited Talk: Malte Helmert,Invited Talk: Malte Helmert,,,,
2,13:00,1,Tuesday 21,Joint,Social: Get Together,Social: Get Together,,,,
3,14:00,1,Tuesday 21,Single,1a,1b,Planning Representations and Scheduling,Verification,"2, 77, 257","44, 113, 368"
4,15:00,1,Tuesday 21,Single,2a,2b,Reinforcement Learning,Heuristics in Classical Planning,"53, 151, 158","195, 208, 225"
5,16:00,1,Tuesday 21,Joint,Poster Session,Poster Session,,,,
6,17:00,1,Tuesday 21,Empty,None,None,,,,
7,18:00,1,Tuesday 21,Single,3a,3b,Model-Based Reasoning in Classical Planning,Learning in Scheduling Applications,"33, 55, 64","170, 222, 232"
8,19:00,1,Tuesday 21,Single,4a,4b,Search,Optimal Planning,"54, 128, 184","78, 96, 229"
9,20:00,1,Tuesday 21,Joint,Diversity,Diversity,,,,
10,21:00,1,Tuesday 21,Single,5a,5b,Problem Reformulation,Heuristics and Heuristic Search,"1, 65, 79","201, 240, 262"
11,22:00,1,Tuesday 21,Single,6a,6b,Multi-Agent Path Finding,Deep Learning,"38, 153, 308","10, 66, 102"
12,23:00,1,Tuesday 21,Joint,Poster Session,Poster Session,,,,
13,0:00,1,Tuesday 21,Empty,None,None,,,,
14,1:00,1,Tuesday 21,Single,7a,7b,Probabilistic Planning,Multi-Agent Planning and Scheduling,"7, 62, 154","35, 136, 209"
15,2:00,1,Tuesday 21,Joint,Social: Speed Dating,Social: Speed Dating,,,,
16,3:00,1,Tuesday 21,Single,8a,8b,Hierarchical Task Networks,Rewards in Reinforcement Learning,"49, 187, 323","212, 314, 373"
17,4:00,1,Tuesday 21,Joint,Invited Talk: Sven Koenig,Invited Talk: Sven Koenig,,,,
18,5:00,1,Tuesday 21,Joint,Social: Games,Social: Games,,,,
0,11:00,2,Wednesday 22,Empty,None,None,,,,
1,12:00,2,Wednesday 22,Single,9a,9b,Search,Multi-Agent Planning,"125, 128, 262","78, 96, 209"
2,13:00,2,Wednesday 22,Joint,Social: Diversity Follow Up,Social: Diversity Follow Up,,,,
3,14:00,2,Wednesday 22,Single,10a,10b,Goal and Plan Recognition,Scheduling Applications,"1, 79, 369","202, 222, 233"
4,15:00,2,Wednesday 22,Single,11a,11b,Heuristics in Classical and Multi-Objective Planning,Applications,"110, 131, 180","196, 200, 353"
